Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,14623,13241,1382,9.45,118.0,13.25,3468332,DRONE
2,10.10.1.3,10.10.1.1,TCP,12239,12117,118,0.96,55.72,19.57,18354164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,12935,12796,138,1.07,53.23,17.83,19398164,JAMMER
4,10.10.1.5,10.10.1.1,TCP,14385,14231,135,0.94,51.16,17.15,21573164,JAMMER
5,10.10.1.6,10.10.1.1,TCP,10759,10593,163,1.52,56.59,20.52,16134164,JAMMER
6,10.10.1.7,10.10.1.1,TCP,14161,13976,179,1.26,55.3,18.07,21237164,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1088,820,231,21.23,347.03,37.64,155712,DRONE
8,10.10.1.2,10.10.1.1,TCP,600,588,12,2.0,53.93,51.35,33708,DRONE
9,10.10.1.1,10.10.1.2,TCP,7333,6432,897,12.23,301.78,13.35,406112,DRONE
10,10.10.1.1,10.10.1.5,TCP,7370,6595,712,9.66,307.31,16.84,388116,
11,10.10.1.1,10.10.1.3,TCP,6350,5597,704,11.09,311.43,18.75,335812,
12,10.10.1.1,10.10.1.6,TCP,5628,5013,580,10.31,317.44,20.33,299356,
13,10.10.1.1,10.10.1.4,TCP,6725,5997,676,10.05,307.06,17.9,356872,
14,10.10.1.1,10.10.1.7,TCP,7305,6516,748,10.24,311.16,17.52,387360,
