Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,11587,10436,1137,9.81,147.28,15.99,3512548,DRONE
2,10.10.1.3,10.10.1.1,TCP,11876,11745,118,0.99,65.66,21.65,17809664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,12896,12734,154,1.19,58.23,19.16,19339664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,9553,9458,95,0.99,53.41,19.12,14325164,JAMMER
5,10.10.1.6,10.10.1.1,TCP,11973,11833,140,1.17,62.41,21.24,17955164,JAMMER
6,10.10.1.7,10.10.1.1,TCP,13324,13201,123,0.92,57.88,18.7,19977600,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1070,785,285,26.64,376.6,45.89,160104,DRONE
8,10.10.1.2,10.10.1.1,TCP,604,591,13,2.15,54.69,47.57,34988,DRONE
9,10.10.1.1,10.10.1.2,TCP,6208,5331,852,13.72,343.7,16.29,358948,DRONE
10,10.10.1.1,10.10.1.5,TCP,4961,4356,591,11.91,334.7,22.26,261896,
11,10.10.1.1,10.10.1.3,TCP,6140,5394,729,11.87,336.22,21.01,325012,
12,10.10.1.1,10.10.1.6,TCP,6218,5503,703,11.31,337.18,20.56,329508,
13,10.10.1.1,10.10.1.4,TCP,6612,5761,835,12.63,335.64,19.44,349820,
14,10.10.1.1,10.10.1.7,TCP,6873,6045,796,11.58,332.3,19.15,362264,
