Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,17178,15746,1394,8.12,112.01,12.14,3723492,DRONE
2,10.10.1.3,10.10.1.1,TCP,15213,15038,154,1.01,44.76,15.55,22815164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,17335,17127,203,1.17,45.7,14.12,25984404,JAMMER
4,10.10.1.5,10.10.1.1,TCP,15260,15071,187,1.23,38.27,14.51,22885664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,15444,15227,215,1.39,44.08,15.16,23161664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,12670,12506,161,1.27,40.0,15.01,19000664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1130,903,225,19.91,338.61,40.52,144820,DRONE
8,10.10.1.2,10.10.1.1,TCP,648,640,8,1.23,50.66,46.42,35804,DRONE
9,10.10.1.1,10.10.1.2,TCP,8784,7874,866,9.86,309.35,12.4,486468,DRONE
10,10.10.1.1,10.10.1.5,TCP,7814,7164,620,7.93,295.95,16.16,411268,
11,10.10.1.1,10.10.1.3,TCP,7854,7224,616,7.84,296.42,15.75,416068,
12,10.10.1.1,10.10.1.6,TCP,7936,7321,602,7.59,296.58,15.64,421156,
13,10.10.1.1,10.10.1.4,TCP,8887,8181,683,7.69,298.71,15.09,469712,
14,10.10.1.1,10.10.1.7,TCP,6556,5956,586,8.94,301.97,17.78,347164,
