Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,12632,11208,1327,10.51,129.72,15.96,3475896,DRONE
2,10.10.1.3,10.10.1.1,TCP,10308,10120,185,1.79,56.8,23.52,15457664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,12097,11945,137,1.13,56.27,19.36,18141164,JAMMER
4,10.10.1.5,10.10.1.1,TCP,12235,12090,139,1.14,55.95,19.85,18348164,JAMMER
5,10.10.1.6,10.10.1.1,TCP,9570,9441,121,1.26,56.48,22.23,14350664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,13198,13064,131,0.99,55.41,18.68,19792664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1114,879,222,19.93,349.98,38.63,146112,DRONE
8,10.10.1.2,10.10.1.1,TCP,639,630,9,1.41,58.65,57.21,35336,DRONE
9,10.10.1.1,10.10.1.2,TCP,6314,5538,739,11.7,313.02,14.81,353844,DRONE
10,10.10.1.1,10.10.1.5,TCP,6279,5612,620,9.87,313.23,19.13,331144,
11,10.10.1.1,10.10.1.3,TCP,5333,4826,484,9.08,312.4,21.7,282520,
12,10.10.1.1,10.10.1.6,TCP,5031,4506,501,9.96,311.41,21.19,266920,
13,10.10.1.1,10.10.1.4,TCP,6295,5625,642,10.2,308.84,19.24,334912,
14,10.10.1.1,10.10.1.7,TCP,6786,6096,644,9.49,313.84,18.25,358252,
