Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32357,32301,56,0.17,0.96,0.25,4275708,DRONE
2,10.10.1.3,10.10.1.1,TCP,237,218,19,8.02,93.21,33.39,351164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,475,461,14,2.95,85.02,23.12,708164,JAMMER
4,10.10.1.5,10.10.1.1,TCP,759,697,62,8.17,167.9,11.3,872100,JAMMER
5,10.10.1.6,10.10.1.1,TCP,362,339,23,6.35,80.05,27.29,538664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,834,786,48,5.76,123.72,16.15,1168648,JAMMER
7,10.10.1.1,10.10.1.2,TCP,847,830,17,2.01,17.45,2.77,93340,DRONE
8,10.10.1.2,10.10.1.1,TCP,579,579,0,0.0,2.95,2.32,30472,DRONE
9,10.10.1.1,10.10.1.2,TCP,16193,16175,18,0.11,1.38,0.3,842784,DRONE
10,10.10.1.1,10.10.1.5,TCP,446,410,36,8.07,353.08,14.66,26664,
11,10.10.1.1,10.10.1.3,TCP,134,102,32,23.88,360.91,30.8,7332,
12,10.10.1.1,10.10.1.6,TCP,192,155,37,19.27,376.27,25.29,10452,
13,10.10.1.1,10.10.1.4,TCP,253,204,49,19.37,380.03,21.44,13776,
14,10.10.1.1,10.10.1.7,TCP,444,342,102,22.97,376.38,14.72,24684,
