Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32015,31998,17,0.05,1.2,0.27,4240244,DRONE
2,10.10.1.3,10.10.1.1,TCP,292,274,18,6.16,132.02,45.3,433664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,217,173,44,20.28,164.57,42.31,321164,JAMMER
4,10.10.1.5,10.10.1.1,TCP,317,295,22,6.94,150.64,33.07,471164,JAMMER
5,10.10.1.6,10.10.1.1,TCP,290,271,19,6.55,140.31,42.96,430664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,184,169,15,8.15,101.36,55.73,271664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,721,698,23,3.19,21.7,3.31,81040,DRONE
8,10.10.1.2,10.10.1.1,TCP,519,519,0,0.0,6.43,5.0,27288,DRONE
9,10.10.1.1,10.10.1.2,TCP,16051,16018,33,0.21,2.02,0.32,836088,DRONE
10,10.10.1.1,10.10.1.5,TCP,182,144,38,20.88,442.25,36.12,10636,
11,10.10.1.1,10.10.1.3,TCP,166,110,56,33.73,420.62,28.9,9164,
12,10.10.1.1,10.10.1.6,TCP,170,121,49,28.82,427.33,31.75,9508,
13,10.10.1.1,10.10.1.4,TCP,116,67,49,42.24,403.77,39.33,6948,
14,10.10.1.1,10.10.1.7,TCP,103,70,33,32.04,408.84,36.05,5840,
