Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32041,31951,90,0.28,2.65,0.49,4210464,DRONE
2,10.10.1.3,10.10.1.1,TCP,682,652,30,4.4,54.1,22.11,1018664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,639,619,20,3.13,45.48,20.71,954164,JAMMER
4,10.10.1.5,10.10.1.1,TCP,1106,986,120,10.85,159.95,10.9,1145444,JAMMER
5,10.10.1.6,10.10.1.1,TCP,527,495,32,6.07,75.61,25.76,786164,JAMMER
6,10.10.1.7,10.10.1.1,TCP,860,845,15,1.74,42.62,16.9,1253480,JAMMER
7,10.10.1.1,10.10.1.2,TCP,760,743,17,2.24,24.04,4.12,83396,DRONE
8,10.10.1.2,10.10.1.1,TCP,529,528,1,0.19,5.6,5.24,27696,DRONE
9,10.10.1.1,10.10.1.2,TCP,16047,15977,70,0.44,6.6,0.52,836256,DRONE
10,10.10.1.1,10.10.1.5,TCP,562,454,108,19.22,311.52,11.81,32412,
11,10.10.1.1,10.10.1.3,TCP,357,321,36,10.08,306.71,20.19,19104,
12,10.10.1.1,10.10.1.6,TCP,285,260,25,8.77,309.76,22.62,16000,
13,10.10.1.1,10.10.1.4,TCP,327,294,33,10.09,298.21,19.09,17224,
14,10.10.1.1,10.10.1.7,TCP,437,389,48,10.98,296.02,16.09,22920,
