Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32646,32502,144,0.44,4.86,0.57,4273300,DRONE
2,10.10.1.3,10.10.1.1,TCP,874,834,40,4.58,76.26,20.9,1306664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,292,281,11,3.77,38.92,20.55,433664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,254,246,8,3.15,48.73,24.21,376664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,1048,1027,21,2.0,51.32,14.69,1322160,JAMMER
6,10.10.1.7,10.10.1.1,TCP,1198,1174,24,2.0,57.92,16.11,1527064,JAMMER
7,10.10.1.1,10.10.1.2,TCP,832,811,21,2.52,21.36,4.61,93512,DRONE
8,10.10.1.2,10.10.1.1,TCP,578,575,3,0.52,6.76,6.54,30500,DRONE
9,10.10.1.1,10.10.1.2,TCP,16372,16283,89,0.54,8.16,0.58,854644,DRONE
10,10.10.1.1,10.10.1.5,TCP,128,105,23,17.97,298.43,33.9,6660,
11,10.10.1.1,10.10.1.3,TCP,483,408,75,15.53,285.2,16.93,26640,
12,10.10.1.1,10.10.1.6,TCP,554,473,81,14.62,256.89,13.26,29580,
13,10.10.1.1,10.10.1.4,TCP,144,128,16,11.11,311.58,31.73,7492,
14,10.10.1.1,10.10.1.7,TCP,631,542,89,14.1,276.41,15.92,34256,
