Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32549,32358,191,0.59,2.73,0.43,4286360,DRONE
2,10.10.1.3,10.10.1.1,TCP,180,162,18,10.0,92.68,45.61,265664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,438,418,20,4.57,119.56,34.25,652664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,586,450,136,23.21,190.0,23.27,727056,JAMMER
5,10.10.1.6,10.10.1.1,TCP,448,429,19,4.24,120.55,31.64,667664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,235,214,21,8.94,65.79,34.55,348164,JAMMER
7,10.10.1.1,10.10.1.2,TCP,819,800,19,2.32,16.98,3.13,90868,DRONE
8,10.10.1.2,10.10.1.1,TCP,562,561,1,0.18,6.35,4.58,29612,DRONE
9,10.10.1.1,10.10.1.2,TCP,16240,16151,89,0.55,3.8,0.4,846412,DRONE
10,10.10.1.1,10.10.1.5,TCP,296,199,97,32.77,418.39,23.1,18540,
11,10.10.1.1,10.10.1.3,TCP,102,70,32,31.37,347.29,30.77,5836,
12,10.10.1.1,10.10.1.6,TCP,242,183,59,24.38,360.73,21.49,13596,
13,10.10.1.1,10.10.1.4,TCP,229,170,59,25.76,369.55,26.0,12416,
14,10.10.1.1,10.10.1.7,TCP,130,97,33,25.38,365.42,29.8,7060,
