Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,31779,31495,284,0.89,7.86,0.92,4295128,DRONE
2,10.10.1.3,10.10.1.1,TCP,3944,3902,42,1.06,23.84,8.65,5911664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,4728,4675,53,1.12,23.75,8.54,7087664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,2484,2473,11,0.44,16.03,8.11,3721664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,5438,5389,49,0.9,31.39,8.2,8135952,JAMMER
6,10.10.1.7,10.10.1.1,TCP,3161,3037,124,3.92,63.68,10.87,4531068,JAMMER
7,10.10.1.1,10.10.1.2,TCP,952,932,20,2.1,50.04,7.81,104516,DRONE
8,10.10.1.2,10.10.1.1,TCP,624,623,1,0.16,5.85,7.62,32668,DRONE
9,10.10.1.1,10.10.1.2,TCP,15882,15701,181,1.14,40.15,1.31,830660,DRONE
10,10.10.1.1,10.10.1.5,TCP,1258,1191,67,5.33,341.04,14.06,65668,
11,10.10.1.1,10.10.1.3,TCP,2016,1906,110,5.46,334.98,10.86,106404,
12,10.10.1.1,10.10.1.6,TCP,2775,2638,137,4.94,334.01,8.93,147496,
13,10.10.1.1,10.10.1.4,TCP,2405,2279,126,5.24,335.46,9.9,127552,
14,10.10.1.1,10.10.1.7,TCP,1713,1611,102,5.95,349.85,12.03,94600,
