Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,31604,31540,64,0.2,1.72,0.31,4132372,DRONE
2,10.10.1.3,10.10.1.1,TCP,263,254,9,3.42,106.95,40.63,390164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,178,164,14,7.87,102.77,35.76,262664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,355,308,47,13.24,205.44,29.91,525732,JAMMER
5,10.10.1.6,10.10.1.1,TCP,294,271,23,7.82,88.22,43.82,436664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,468,449,19,4.06,118.11,29.85,697664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,783,759,24,3.07,25.76,3.09,85008,DRONE
8,10.10.1.2,10.10.1.1,TCP,577,577,0,0.0,5.6,3.75,30192,DRONE
9,10.10.1.1,10.10.1.2,TCP,15849,15793,56,0.35,2.18,0.31,825480,DRONE
10,10.10.1.1,10.10.1.5,TCP,206,147,59,28.64,435.44,21.91,12192,
11,10.10.1.1,10.10.1.3,TCP,142,93,49,34.51,401.44,26.02,7572,
12,10.10.1.1,10.10.1.6,TCP,152,112,40,26.32,396.99,29.91,8180,
13,10.10.1.1,10.10.1.4,TCP,102,62,40,39.22,400.62,40.71,5500,
14,10.10.1.1,10.10.1.7,TCP,253,181,72,28.46,414.17,26.96,14176,
