Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32483,32374,109,0.34,0.48,0.22,4307816,DRONE
2,10.10.1.3,10.10.1.1,TCP,365,338,27,7.4,91.55,35.85,543164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,347,328,19,5.48,100.87,36.92,516164,JAMMER
4,10.10.1.5,10.10.1.1,TCP,214,176,38,17.76,126.29,36.24,315220,JAMMER
5,10.10.1.6,10.10.1.1,TCP,366,356,10,2.73,115.25,36.48,544664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,237,218,19,8.02,98.73,33.3,351164,JAMMER
7,10.10.1.1,10.10.1.2,TCP,790,773,17,2.15,21.5,3.45,88012,DRONE
8,10.10.1.2,10.10.1.1,TCP,553,549,4,0.72,3.53,3.81,29000,DRONE
9,10.10.1.1,10.10.1.2,TCP,16213,16209,4,0.02,0.78,0.27,843280,DRONE
10,10.10.1.1,10.10.1.5,TCP,118,84,34,28.81,397.96,21.29,7252,
11,10.10.1.1,10.10.1.3,TCP,185,158,27,14.59,383.37,27.9,10208,
12,10.10.1.1,10.10.1.6,TCP,196,149,47,23.98,372.83,26.49,10436,
13,10.10.1.1,10.10.1.4,TCP,181,140,41,22.65,376.2,27.69,9952,
14,10.10.1.1,10.10.1.7,TCP,133,101,32,24.06,358.59,29.4,7352,
