Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32773,32636,137,0.42,3.82,0.69,4322688,DRONE
2,10.10.1.3,10.10.1.1,TCP,1647,1626,21,1.28,55.2,15.22,2466164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,1920,1898,22,1.15,34.21,11.22,2875664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,816,807,9,1.1,46.14,15.95,1219664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,2402,2341,61,2.54,36.14,10.6,3595448,JAMMER
6,10.10.1.7,10.10.1.1,TCP,1799,1765,34,1.89,32.07,11.58,2694164,JAMMER
7,10.10.1.1,10.10.1.2,TCP,912,897,15,1.64,24.62,5.74,99300,DRONE
8,10.10.1.2,10.10.1.1,TCP,612,611,1,0.16,3.81,5.15,32052,DRONE
9,10.10.1.1,10.10.1.2,TCP,16415,16309,106,0.65,16.13,0.85,856760,DRONE
10,10.10.1.1,10.10.1.5,TCP,409,357,52,12.71,296.04,24.37,21272,
11,10.10.1.1,10.10.1.3,TCP,833,751,82,9.84,286.67,15.9,43608,
12,10.10.1.1,10.10.1.6,TCP,1219,1155,64,5.25,271.9,10.01,65272,
13,10.10.1.1,10.10.1.4,TCP,977,899,78,7.98,271.98,12.01,51488,
14,10.10.1.1,10.10.1.7,TCP,910,842,68,7.47,280.16,13.27,48204,
