Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32254,32035,219,0.68,8.21,1.1,4334264,DRONE
2,10.10.1.3,10.10.1.1,TCP,2046,2018,28,1.37,36.31,13.65,3064664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,4947,4822,125,2.53,50.79,9.26,7399076,JAMMER
4,10.10.1.5,10.10.1.1,TCP,901,889,12,1.33,33.86,13.11,1347164,JAMMER
5,10.10.1.6,10.10.1.1,TCP,3580,3526,54,1.51,46.59,10.65,5353848,JAMMER
6,10.10.1.7,10.10.1.1,TCP,3578,3536,42,1.17,30.88,10.19,5362664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,946,896,50,5.29,28.81,5.83,106472,DRONE
8,10.10.1.2,10.10.1.1,TCP,611,611,0,0.0,7.64,5.48,32152,DRONE
9,10.10.1.1,10.10.1.2,TCP,16129,15998,131,0.81,28.51,1.13,842616,DRONE
10,10.10.1.1,10.10.1.5,TCP,458,395,63,13.76,249.74,20.32,23916,
11,10.10.1.1,10.10.1.3,TCP,1060,964,96,9.06,266.28,14.65,56468,
12,10.10.1.1,10.10.1.6,TCP,1866,1701,165,8.84,270.69,11.13,99100,
13,10.10.1.1,10.10.1.4,TCP,2548,2353,195,7.65,260.87,7.86,137244,
14,10.10.1.1,10.10.1.7,TCP,1836,1683,153,8.33,259.93,10.06,97148,
