Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,13531,12147,1342,9.92,131.03,14.04,3555216,DRONE
2,10.10.1.3,10.10.1.1,TCP,10510,10351,137,1.3,64.66,20.26,15103160,JAMMER
3,10.10.1.4,10.10.1.1,TCP,13300,13183,116,0.87,55.65,17.54,19234088,JAMMER
4,10.10.1.5,10.10.1.1,TCP,11411,11287,124,1.09,57.0,19.11,16526236,JAMMER
5,10.10.1.6,10.10.1.1,TCP,13774,13611,138,1.0,57.18,18.65,20383704,JAMMER
6,10.10.1.7,10.10.1.1,TCP,15145,15006,124,0.82,55.07,16.42,21420828,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1143,775,344,30.1,376.25,45.26,160348,DRONE
8,10.10.1.2,10.10.1.1,TCP,574,560,14,2.44,66.61,55.15,31908,DRONE
9,10.10.1.1,10.10.1.2,TCP,7029,6064,917,13.05,331.74,14.39,399048,DRONE
10,10.10.1.1,10.10.1.5,TCP,5864,5112,732,12.48,325.04,20.07,308908,
11,10.10.1.1,10.10.1.3,TCP,5502,4832,626,11.38,321.78,20.71,292756,
12,10.10.1.1,10.10.1.6,TCP,7120,6246,825,11.59,328.91,18.12,377828,
13,10.10.1.1,10.10.1.4,TCP,6877,6010,843,12.26,320.82,18.34,363632,
14,10.10.1.1,10.10.1.7,TCP,7842,6820,987,12.59,320.12,17.04,414636,
