Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,14635,13106,1445,9.87,141.53,15.01,3576988,DRONE
2,10.10.1.3,10.10.1.1,TCP,11969,11802,152,1.27,53.22,20.02,17945412,JAMMER
3,10.10.1.4,10.10.1.1,TCP,15393,15243,147,0.95,57.9,16.87,21509900,JAMMER
4,10.10.1.5,10.10.1.1,TCP,11251,11126,113,1.0,51.13,18.01,16802864,JAMMER
5,10.10.1.6,10.10.1.1,TCP,11702,11552,136,1.16,52.03,18.58,17144384,JAMMER
6,10.10.1.7,10.10.1.1,TCP,13122,12988,129,0.98,53.17,17.75,19501976,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1135,882,237,20.88,358.37,41.39,156692,DRONE
8,10.10.1.2,10.10.1.1,TCP,650,639,11,1.69,72.25,58.03,36444,DRONE
9,10.10.1.1,10.10.1.2,TCP,7675,6611,996,12.98,324.32,14.38,438592,DRONE
10,10.10.1.1,10.10.1.5,TCP,5806,5153,611,10.52,323.77,19.44,305768,
11,10.10.1.1,10.10.1.3,TCP,6209,5531,639,10.29,325.2,20.8,328912,
12,10.10.1.1,10.10.1.6,TCP,6030,5401,595,9.87,320.66,19.92,319676,
13,10.10.1.1,10.10.1.4,TCP,7936,7016,898,11.32,328.65,17.37,418940,
14,10.10.1.1,10.10.1.7,TCP,6774,6013,727,10.73,325.4,18.89,357428,
