Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,16106,14490,1585,9.84,112.66,13.51,3738524,DRONE
2,10.10.1.3,10.10.1.1,TCP,12915,12727,188,1.46,49.16,17.61,18415436,JAMMER
3,10.10.1.4,10.10.1.1,TCP,12838,12654,172,1.34,50.61,17.46,18420304,JAMMER
4,10.10.1.5,10.10.1.1,TCP,13729,13561,168,1.22,51.77,16.29,18888844,JAMMER
5,10.10.1.6,10.10.1.1,TCP,13756,13599,157,1.14,51.87,17.74,19961560,JAMMER
6,10.10.1.7,10.10.1.1,TCP,14012,13890,121,0.86,53.71,16.08,19942328,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1090,864,216,19.82,330.78,41.48,143368,DRONE
8,10.10.1.2,10.10.1.1,TCP,635,625,10,1.57,55.75,52.66,34936,DRONE
9,10.10.1.1,10.10.1.2,TCP,8068,7166,839,10.4,312.21,14.01,448828,DRONE
10,10.10.1.1,10.10.1.5,TCP,7067,6422,612,8.66,300.82,17.1,372956,
11,10.10.1.1,10.10.1.3,TCP,6683,6028,641,9.59,294.82,18.29,354808,
12,10.10.1.1,10.10.1.6,TCP,7092,6416,641,9.04,305.51,18.41,375628,
13,10.10.1.1,10.10.1.4,TCP,6611,5972,593,8.97,300.95,18.32,349896,
14,10.10.1.1,10.10.1.7,TCP,7230,6407,813,11.24,301.25,17.45,382028,
