Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,15462,14140,1151,7.44,126.24,13.51,3647436,DRONE
2,10.10.1.3,10.10.1.1,TCP,12114,11927,181,1.49,50.3,18.72,17119384,JAMMER
3,10.10.1.4,10.10.1.1,TCP,12992,12834,148,1.14,57.42,17.82,18373640,JAMMER
4,10.10.1.5,10.10.1.1,TCP,12461,12289,154,1.24,64.03,19.3,17879224,JAMMER
5,10.10.1.6,10.10.1.1,TCP,11633,11458,163,1.4,48.73,19.01,17122380,JAMMER
6,10.10.1.7,10.10.1.1,TCP,13363,13220,143,1.07,52.87,17.38,19289892,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1088,869,213,19.58,376.71,37.39,138140,DRONE
8,10.10.1.2,10.10.1.1,TCP,623,606,16,2.57,74.28,56.08,33984,DRONE
9,10.10.1.1,10.10.1.2,TCP,7923,6966,897,11.32,332.25,14.48,440088,DRONE
10,10.10.1.1,10.10.1.5,TCP,6569,5766,754,11.48,334.87,19.44,353484,
11,10.10.1.1,10.10.1.3,TCP,6228,5512,694,11.14,326.21,18.73,329380,
12,10.10.1.1,10.10.1.6,TCP,6084,5426,630,10.36,319.86,19.25,322924,
13,10.10.1.1,10.10.1.4,TCP,6714,5943,710,10.57,326.69,18.72,354748,
14,10.10.1.1,10.10.1.7,TCP,6912,6121,748,10.82,332.05,18.71,364788,
