Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,15938,14150,1715,10.76,133.09,14.87,3765212,DRONE
2,10.10.1.3,10.10.1.1,TCP,13396,13178,196,1.46,53.03,17.39,18687056,JAMMER
3,10.10.1.4,10.10.1.1,TCP,17712,17526,180,1.02,59.41,14.86,24013240,JAMMER
4,10.10.1.5,10.10.1.1,TCP,9175,9070,103,1.12,61.3,18.34,13294508,JAMMER
5,10.10.1.6,10.10.1.1,TCP,13261,13105,154,1.16,48.4,16.23,19084588,JAMMER
6,10.10.1.7,10.10.1.1,TCP,15054,14867,187,1.24,49.97,15.95,21454824,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1114,836,273,24.51,348.39,44.08,153824,DRONE
8,10.10.1.2,10.10.1.1,TCP,605,583,22,3.64,72.51,65.24,33520,DRONE
9,10.10.1.1,10.10.1.2,TCP,7989,6975,943,11.8,307.07,14.64,449400,DRONE
10,10.10.1.1,10.10.1.5,TCP,4755,4190,498,10.47,312.73,17.48,253444,
11,10.10.1.1,10.10.1.3,TCP,6834,6272,507,7.42,277.75,17.3,360356,
12,10.10.1.1,10.10.1.6,TCP,6869,6234,617,8.98,288.97,18.06,365416,
13,10.10.1.1,10.10.1.4,TCP,9127,8239,858,9.4,295.29,16.21,484984,
14,10.10.1.1,10.10.1.7,TCP,7763,6973,736,9.48,289.56,17.22,411024,
