Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,14286,12790,1492,10.44,117.0,13.59,3587260,DRONE
2,10.10.1.3,10.10.1.1,TCP,10936,10817,117,1.07,50.77,19.01,16399664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,13591,13425,145,1.07,55.91,18.22,20382164,JAMMER
4,10.10.1.5,10.10.1.1,TCP,12061,11962,95,0.79,51.53,17.87,18087164,JAMMER
5,10.10.1.6,10.10.1.1,TCP,14015,13889,125,0.89,52.09,18.04,21018164,JAMMER
6,10.10.1.7,10.10.1.1,TCP,16647,16452,180,1.08,52.7,16.18,24966164,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1123,855,257,22.89,349.27,40.62,165912,DRONE
8,10.10.1.2,10.10.1.1,TCP,624,608,16,2.56,65.39,53.71,34780,DRONE
9,10.10.1.1,10.10.1.2,TCP,7276,6269,1001,13.76,320.67,14.28,409500,DRONE
10,10.10.1.1,10.10.1.5,TCP,6259,5610,646,10.32,313.33,18.6,330700,
11,10.10.1.1,10.10.1.3,TCP,5696,5032,656,11.52,305.13,19.04,301340,
12,10.10.1.1,10.10.1.6,TCP,7236,6520,707,9.77,304.93,17.04,382108,
13,10.10.1.1,10.10.1.4,TCP,7000,6240,742,10.6,316.49,18.15,368588,
14,10.10.1.1,10.10.1.7,TCP,8542,7665,857,10.03,310.47,15.75,451140,
