Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,14252,12733,1409,9.89,119.03,13.7,3618448,DRONE
2,10.10.1.3,10.10.1.1,TCP,12404,12254,139,1.12,51.94,19.07,18601664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,13726,13531,183,1.33,50.67,17.68,20584664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,15496,15351,132,0.85,55.77,17.29,23239664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,10628,10523,87,0.82,60.35,20.35,15937664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,11602,11472,130,1.12,52.35,17.58,17398664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1130,799,297,26.28,341.4,42.83,158360,DRONE
8,10.10.1.2,10.10.1.1,TCP,597,585,12,2.01,62.52,51.1,34000,DRONE
9,10.10.1.1,10.10.1.2,TCP,7160,6365,759,10.6,299.85,14.37,400468,DRONE
10,10.10.1.1,10.10.1.5,TCP,7971,7240,706,8.86,303.19,16.69,421056,
11,10.10.1.1,10.10.1.3,TCP,6435,5865,560,8.7,302.15,18.7,340608,
12,10.10.1.1,10.10.1.6,TCP,5525,4898,586,10.61,319.09,20.83,291864,
13,10.10.1.1,10.10.1.4,TCP,7024,6244,741,10.55,301.79,17.36,370484,
14,10.10.1.1,10.10.1.7,TCP,6024,5344,660,10.96,300.51,18.78,319140,
