Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,14066,12553,1408,10.01,124.31,14.6,3585280,DRONE
2,10.10.1.3,10.10.1.1,TCP,9723,9603,115,1.18,53.75,21.58,14580164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,13837,13696,130,0.94,55.69,18.53,20751164,JAMMER
4,10.10.1.5,10.10.1.1,TCP,11131,10956,169,1.52,47.16,18.09,16690720,JAMMER
5,10.10.1.6,10.10.1.1,TCP,12916,12805,101,0.78,54.69,19.3,19369664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,13766,13621,134,0.97,61.52,18.26,20644664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1091,823,242,22.18,353.28,38.18,155416,DRONE
8,10.10.1.2,10.10.1.1,TCP,607,594,11,1.81,54.15,51.2,34016,DRONE
9,10.10.1.1,10.10.1.2,TCP,7171,6257,857,11.95,330.05,14.77,405960,DRONE
10,10.10.1.1,10.10.1.5,TCP,5707,5151,529,9.27,322.67,18.97,299960,
11,10.10.1.1,10.10.1.3,TCP,5086,4563,503,9.89,324.73,20.86,269356,
12,10.10.1.1,10.10.1.6,TCP,6660,5949,669,10.05,321.02,18.46,351404,
13,10.10.1.1,10.10.1.4,TCP,7139,6343,731,10.24,322.91,18.2,377232,
14,10.10.1.1,10.10.1.7,TCP,7094,6318,724,10.21,325.07,18.18,374932,
