Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,18230,16688,1479,8.11,113.03,11.41,3874264,DRONE
2,10.10.1.3,10.10.1.1,TCP,17444,17215,228,1.31,50.89,14.83,26084024,JAMMER
3,10.10.1.4,10.10.1.1,TCP,16259,16040,219,1.35,49.58,14.44,24289668,JAMMER
4,10.10.1.5,10.10.1.1,TCP,14952,14769,183,1.22,44.05,15.45,22423664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,14455,14333,118,0.82,47.33,15.04,21678164,JAMMER
6,10.10.1.7,10.10.1.1,TCP,15037,14847,184,1.22,47.45,15.15,22551164,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1123,895,224,19.95,327.82,39.59,147992,DRONE
8,10.10.1.2,10.10.1.1,TCP,643,625,17,2.64,57.63,51.75,34992,DRONE
9,10.10.1.1,10.10.1.2,TCP,9180,8035,1118,12.18,296.71,12.21,508972,DRONE
10,10.10.1.1,10.10.1.5,TCP,7683,6930,740,9.63,292.11,16.12,405288,
11,10.10.1.1,10.10.1.3,TCP,9003,8146,846,9.4,294.94,14.55,479200,
12,10.10.1.1,10.10.1.6,TCP,7435,6671,742,9.98,293.96,15.85,391472,
13,10.10.1.1,10.10.1.4,TCP,8425,7477,936,11.11,296.37,15.1,448920,
14,10.10.1.1,10.10.1.7,TCP,7714,6855,838,10.86,294.6,16.24,406972,
