Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,15886,14507,1379,8.68,123.46,13.79,3594236,DRONE
2,10.10.1.3,10.10.1.1,TCP,12308,12123,182,1.48,52.52,18.91,18444776,JAMMER
3,10.10.1.4,10.10.1.1,TCP,13462,13304,156,1.16,46.97,16.81,20188664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,13364,13218,137,1.03,48.44,17.69,20041664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,11179,11041,136,1.22,43.58,18.14,16764164,JAMMER
6,10.10.1.7,10.10.1.1,TCP,14312,14157,140,0.98,54.15,17.28,21463664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1148,884,255,22.21,358.84,37.58,157988,DRONE
8,10.10.1.2,10.10.1.1,TCP,645,631,11,1.71,71.0,54.82,36008,DRONE
9,10.10.1.1,10.10.1.2,TCP,8082,7104,969,11.99,334.29,13.49,445652,DRONE
10,10.10.1.1,10.10.1.5,TCP,6932,6255,628,9.06,326.14,18.38,366756,
11,10.10.1.1,10.10.1.3,TCP,6347,5753,561,8.84,327.81,18.96,335536,
12,10.10.1.1,10.10.1.6,TCP,5800,5267,519,8.95,324.31,18.71,306748,
13,10.10.1.1,10.10.1.4,TCP,6961,6229,710,10.2,322.84,17.21,367392,
14,10.10.1.1,10.10.1.7,TCP,7388,6633,731,9.89,330.06,17.0,392084,
