Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,31978,31813,165,0.52,6.17,0.76,4305500,DRONE
2,10.10.1.3,10.10.1.1,TCP,690,650,40,5.8,64.67,28.32,1030664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,1073,1039,34,3.17,52.28,21.4,1605164,JAMMER
4,10.10.1.5,10.10.1.1,TCP,461,445,16,3.47,65.65,28.09,687164,JAMMER
5,10.10.1.6,10.10.1.1,TCP,975,953,22,2.26,59.43,21.7,1458164,JAMMER
6,10.10.1.7,10.10.1.1,TCP,2090,1987,103,4.93,103.79,15.6,3094536,JAMMER
7,10.10.1.1,10.10.1.2,TCP,941,928,13,1.38,31.92,5.12,101828,DRONE
8,10.10.1.2,10.10.1.1,TCP,623,620,3,0.48,7.86,7.03,32504,DRONE
9,10.10.1.1,10.10.1.2,TCP,16035,15864,171,1.07,12.73,0.73,837752,DRONE
10,10.10.1.1,10.10.1.5,TCP,228,190,38,16.67,383.15,38.02,11860,
11,10.10.1.1,10.10.1.3,TCP,360,304,56,15.56,379.94,26.27,19500,
12,10.10.1.1,10.10.1.6,TCP,517,426,91,17.6,374.71,21.01,27848,
13,10.10.1.1,10.10.1.4,TCP,557,464,93,16.7,376.22,19.92,29504,
14,10.10.1.1,10.10.1.7,TCP,1114,977,137,12.3,378.42,12.78,62684,
