Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32219,32037,182,0.56,5.53,0.68,4311560,DRONE
2,10.10.1.3,10.10.1.1,TCP,1533,1503,30,1.96,87.66,19.93,2295164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,1530,1513,17,1.11,72.34,16.89,2290664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,526,506,20,3.8,56.18,24.19,784664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,1206,1188,18,1.49,72.09,20.88,1804664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,542,512,30,5.54,48.83,25.06,808664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,895,873,22,2.46,28.66,4.91,97772,DRONE
8,10.10.1.2,10.10.1.1,TCP,601,598,3,0.5,4.65,5.08,31416,DRONE
9,10.10.1.1,10.10.1.2,TCP,16167,16032,135,0.84,14.21,0.75,845944,DRONE
10,10.10.1.1,10.10.1.5,TCP,269,216,53,19.7,382.44,34.12,14216,
11,10.10.1.1,10.10.1.3,TCP,802,704,98,12.22,362.01,17.21,42820,
12,10.10.1.1,10.10.1.6,TCP,644,556,88,13.66,356.88,18.83,34356,
13,10.10.1.1,10.10.1.4,TCP,824,683,141,17.11,347.95,14.94,44164,
14,10.10.1.1,10.10.1.7,TCP,289,226,63,21.8,363.57,29.05,15400,
