Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32573,32535,38,0.12,4.03,0.54,4290532,DRONE
2,10.10.1.3,10.10.1.1,TCP,1585,1553,32,2.02,49.21,14.37,2373164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,1038,1025,13,1.25,47.31,18.74,1552664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,6,3,3,50.0,20.48,7.13,336,JAMMER
5,10.10.1.6,10.10.1.1,TCP,948,925,23,2.43,41.76,17.76,1417664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,1912,1894,18,0.94,61.27,13.49,2863664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,808,789,19,2.35,21.57,5.4,89564,DRONE
8,10.10.1.2,10.10.1.1,TCP,557,555,2,0.36,3.67,3.89,29232,DRONE
9,10.10.1.1,10.10.1.2,TCP,16352,16250,102,0.62,10.62,0.61,852012,DRONE
10,10.10.1.1,10.10.1.5,TCP,6,0,6,100.0,0.0,0.0,336,
11,10.10.1.1,10.10.1.3,TCP,818,719,99,12.1,268.22,13.16,43956,
12,10.10.1.1,10.10.1.6,TCP,482,420,62,12.86,275.61,16.17,25332,
13,10.10.1.1,10.10.1.4,TCP,536,468,68,12.69,288.37,17.36,28196,
14,10.10.1.1,10.10.1.7,TCP,993,901,92,9.26,270.41,13.04,53208,
