Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32602,32457,145,0.44,4.86,0.71,4277648,DRONE
2,10.10.1.3,10.10.1.1,TCP,1219,1172,47,3.86,45.92,18.87,1824164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,1344,1317,27,2.01,50.63,14.3,2011664,JAMMER
4,10.10.1.5,10.10.1.1,TCP,420,408,12,2.86,30.1,14.54,625664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,724,713,11,1.52,48.22,19.12,1081664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,1691,1666,25,1.48,50.61,13.47,2532164,JAMMER
7,10.10.1.1,10.10.1.2,TCP,934,913,21,2.25,20.56,4.07,103272,DRONE
8,10.10.1.2,10.10.1.1,TCP,618,616,2,0.32,4.58,5.01,32444,DRONE
9,10.10.1.1,10.10.1.2,TCP,16299,16164,135,0.83,12.27,0.73,849040,DRONE
10,10.10.1.1,10.10.1.5,TCP,208,172,36,17.31,317.31,33.43,10820,
11,10.10.1.1,10.10.1.3,TCP,605,547,58,9.59,286.4,15.36,31720,
12,10.10.1.1,10.10.1.6,TCP,380,324,56,14.74,286.33,17.89,20052,
13,10.10.1.1,10.10.1.4,TCP,687,588,99,14.41,286.02,14.23,36256,
14,10.10.1.1,10.10.1.7,TCP,876,778,98,11.19,287.4,13.04,46796,
