Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,30676,30471,205,0.67,6.19,0.81,4209760,DRONE
2,10.10.1.3,10.10.1.1,TCP,518,495,23,4.44,49.36,25.53,772664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,1160,1114,46,3.97,71.13,24.57,1640896,JAMMER
4,10.10.1.5,10.10.1.1,TCP,1495,1459,36,2.41,83.95,19.43,1900308,JAMMER
5,10.10.1.6,10.10.1.1,TCP,1024,991,33,3.22,79.44,27.06,1486240,JAMMER
6,10.10.1.7,10.10.1.1,TCP,1538,1491,47,3.06,82.35,18.25,1897704,JAMMER
7,10.10.1.1,10.10.1.2,TCP,814,787,27,3.32,30.84,6.59,90860,DRONE
8,10.10.1.2,10.10.1.1,TCP,556,553,3,0.54,10.64,9.3,29452,DRONE
9,10.10.1.1,10.10.1.2,TCP,15364,15282,82,0.53,8.59,0.82,803068,DRONE
10,10.10.1.1,10.10.1.5,TCP,769,641,128,16.64,337.45,20.44,41128,
11,10.10.1.1,10.10.1.3,TCP,278,225,53,19.06,327.87,31.44,14764,
12,10.10.1.1,10.10.1.6,TCP,538,455,83,15.43,334.17,23.02,28540,
13,10.10.1.1,10.10.1.4,TCP,618,526,92,14.89,336.08,22.4,33828,
14,10.10.1.1,10.10.1.7,TCP,823,675,148,17.98,339.64,21.12,44760,
