Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,30110,29815,295,0.98,6.83,0.9,4222908,DRONE
2,10.10.1.3,10.10.1.1,TCP,1757,1718,39,2.22,83.3,24.74,2346836,JAMMER
3,10.10.1.4,10.10.1.1,TCP,1965,1933,32,1.63,78.27,19.84,2555524,JAMMER
4,10.10.1.5,10.10.1.1,TCP,27,20,7,25.93,55.08,36.29,36164,JAMMER
5,10.10.1.6,10.10.1.1,TCP,1843,1794,49,2.66,75.89,21.67,2405508,JAMMER
6,10.10.1.7,10.10.1.1,TCP,1962,1887,75,3.82,78.0,18.81,2449048,JAMMER
7,10.10.1.1,10.10.1.2,TCP,878,833,45,5.13,41.55,7.98,98588,DRONE
8,10.10.1.2,10.10.1.1,TCP,580,579,1,0.17,8.23,8.01,30508,DRONE
9,10.10.1.1,10.10.1.2,TCP,15046,14844,202,1.34,10.27,0.95,786884,DRONE
10,10.10.1.1,10.10.1.5,TCP,14,9,5,35.71,458.57,140.16,736,
11,10.10.1.1,10.10.1.3,TCP,920,790,130,14.13,292.89,22.35,49140,
12,10.10.1.1,10.10.1.6,TCP,961,826,135,14.05,302.26,20.81,51968,
13,10.10.1.1,10.10.1.4,TCP,1034,877,157,15.18,297.87,21.08,55676,
14,10.10.1.1,10.10.1.7,TCP,999,834,165,16.52,298.11,21.1,53240,
