Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,32272,32135,137,0.42,2.7,0.46,4265732,DRONE
2,10.10.1.3,10.10.1.1,TCP,469,436,33,7.04,80.87,25.95,695764,JAMMER
3,10.10.1.4,10.10.1.1,TCP,825,768,57,6.91,71.56,20.9,1098956,JAMMER
4,10.10.1.5,10.10.1.1,TCP,750,671,79,10.53,99.79,12.74,769060,JAMMER
5,10.10.1.6,10.10.1.1,TCP,460,428,32,6.96,56.99,27.76,685664,JAMMER
6,10.10.1.7,10.10.1.1,TCP,974,923,51,5.24,67.91,18.89,1142056,JAMMER
7,10.10.1.1,10.10.1.2,TCP,849,828,21,2.47,18.44,3.99,93852,DRONE
8,10.10.1.2,10.10.1.1,TCP,588,587,1,0.17,4.5,3.5,30836,DRONE
9,10.10.1.1,10.10.1.2,TCP,16167,16104,63,0.39,4.9,0.56,843376,DRONE
10,10.10.1.1,10.10.1.5,TCP,378,313,65,17.2,266.63,18.21,20732,
11,10.10.1.1,10.10.1.3,TCP,286,242,44,15.38,292.16,27.63,16212,
12,10.10.1.1,10.10.1.6,TCP,247,205,42,17.0,242.06,26.93,13480,
13,10.10.1.1,10.10.1.4,TCP,404,350,54,13.37,255.56,18.92,21284,
14,10.10.1.1,10.10.1.7,TCP,483,412,71,14.7,270.9,18.47,25864,
