Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,31281,31178,103,0.33,3.47,0.6,4195728,DRONE
2,10.10.1.3,10.10.1.1,TCP,655,624,31,4.73,80.41,33.75,978164,JAMMER
3,10.10.1.4,10.10.1.1,TCP,1202,1131,71,5.91,75.54,25.9,1656600,JAMMER
4,10.10.1.5,10.10.1.1,TCP,548,528,20,3.65,55.59,24.13,817664,JAMMER
5,10.10.1.6,10.10.1.1,TCP,813,798,15,1.85,86.43,30.4,1215164,JAMMER
6,10.10.1.7,10.10.1.1,TCP,986,961,25,2.54,73.75,26.44,1474664,JAMMER
7,10.10.1.1,10.10.1.2,TCP,941,929,12,1.28,9.96,2.01,109836,DRONE
8,10.10.1.2,10.10.1.1,TCP,601,599,2,0.33,2.28,3.31,31600,DRONE
9,10.10.1.1,10.10.1.2,TCP,15670,15595,75,0.48,6.68,0.59,817540,DRONE
10,10.10.1.1,10.10.1.5,TCP,269,224,45,16.73,349.46,31.93,13992,
11,10.10.1.1,10.10.1.3,TCP,349,285,64,18.34,375.58,29.71,19224,
12,10.10.1.1,10.10.1.6,TCP,441,365,76,17.23,360.24,24.71,23768,
13,10.10.1.1,10.10.1.4,TCP,588,454,134,22.79,348.71,19.14,31156,
14,10.10.1.1,10.10.1.7,TCP,524,425,99,18.89,358.74,22.9,28372,
