Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,31530,31341,189,0.6,3.28,0.61,4248892,DRONE
2,10.10.1.3,10.10.1.1,TCP,478,450,28,5.86,102.72,44.13,712664,JAMMER
3,10.10.1.4,10.10.1.1,TCP,820,797,23,2.8,123.24,28.94,1121536,JAMMER
4,10.10.1.5,10.10.1.1,TCP,6,3,3,50.0,20.59,7.74,336,JAMMER
5,10.10.1.6,10.10.1.1,TCP,814,793,21,2.58,91.68,26.17,1065960,JAMMER
6,10.10.1.7,10.10.1.1,TCP,936,904,32,3.42,85.2,23.31,1189088,JAMMER
7,10.10.1.1,10.10.1.2,TCP,751,729,22,2.93,30.18,5.07,83944,DRONE
8,10.10.1.2,10.10.1.1,TCP,550,546,4,0.73,6.95,6.46,28812,DRONE
9,10.10.1.1,10.10.1.2,TCP,15767,15701,66,0.42,5.13,0.52,822552,DRONE
10,10.10.1.1,10.10.1.5,TCP,6,0,6,100.0,0.0,0.0,336,
11,10.10.1.1,10.10.1.3,TCP,256,207,49,19.14,359.31,39.15,13996,
12,10.10.1.1,10.10.1.6,TCP,429,354,75,17.48,336.67,23.22,23048,
13,10.10.1.1,10.10.1.4,TCP,435,361,74,17.01,337.14,24.52,23976,
14,10.10.1.1,10.10.1.7,TCP,494,418,76,15.38,348.63,24.34,26980,
