Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,8962,7209,1683,18.78,178.57,22.38,3324440,DRONE
2,10.10.1.3,10.10.1.1,TCP,8710,8526,159,1.83,75.22,26.04,12272960,JAMMER
3,10.10.1.4,10.10.1.1,TCP,11199,11056,136,1.21,82.22,22.16,14732516,JAMMER
4,10.10.1.5,10.10.1.1,TCP,8996,8865,111,1.23,69.01,24.12,12721168,JAMMER
5,10.10.1.6,10.10.1.1,TCP,10939,10779,149,1.36,81.42,23.72,14780332,JAMMER
6,10.10.1.7,10.10.1.1,TCP,10709,10522,183,1.71,80.61,21.74,14399052,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1159,846,302,26.06,353.06,44.36,161056,DRONE
8,10.10.1.2,10.10.1.1,TCP,640,630,9,1.41,67.43,58.47,36172,DRONE
9,10.10.1.1,10.10.1.2,TCP,4538,3661,869,19.15,322.14,21.94,268956,DRONE
10,10.10.1.1,10.10.1.5,TCP,4700,4123,551,11.72,326.93,25.12,249572,
11,10.10.1.1,10.10.1.3,TCP,4511,3939,542,12.02,324.8,25.22,239368,
12,10.10.1.1,10.10.1.6,TCP,5715,4894,809,14.16,333.67,23.02,305528,
13,10.10.1.1,10.10.1.4,TCP,5845,4974,851,14.56,327.52,22.14,311288,
14,10.10.1.1,10.10.1.7,TCP,5620,4759,827,14.72,328.96,23.29,300324,
