Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,10520,8701,1819,17.29,157.37,19.77,3386420,DRONE
2,10.10.1.3,10.10.1.1,TCP,9841,9612,228,2.32,65.59,22.75,13408668,JAMMER
3,10.10.1.4,10.10.1.1,TCP,9907,9738,162,1.64,63.38,21.08,13545388,JAMMER
4,10.10.1.5,10.10.1.1,TCP,13314,13097,212,1.59,78.1,20.24,17140952,JAMMER
5,10.10.1.6,10.10.1.1,TCP,10701,10486,209,1.95,70.73,21.91,14398076,JAMMER
6,10.10.1.7,10.10.1.1,TCP,11031,10879,131,1.19,63.15,20.28,14773364,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1048,769,268,25.57,358.63,43.67,147380,DRONE
8,10.10.1.2,10.10.1.1,TCP,586,581,5,0.85,53.49,56.29,32860,DRONE
9,10.10.1.1,10.10.1.2,TCP,5244,4209,1031,19.66,309.15,19.53,306196,DRONE
10,10.10.1.1,10.10.1.5,TCP,6965,6047,869,12.48,326.94,20.9,374976,
11,10.10.1.1,10.10.1.3,TCP,5156,4549,599,11.62,308.6,23.23,274556,
12,10.10.1.1,10.10.1.6,TCP,5573,4754,806,14.46,313.68,22.54,296984,
13,10.10.1.1,10.10.1.4,TCP,5207,4502,686,13.17,316.97,23.89,277752,
14,10.10.1.1,10.10.1.7,TCP,5742,4920,783,13.64,323.19,22.88,304596,
