Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,11546,9919,1609,13.94,154.94,18.37,3457368,DRONE
2,10.10.1.3,10.10.1.1,TCP,10295,10104,183,1.78,63.72,22.74,14135132,JAMMER
3,10.10.1.4,10.10.1.1,TCP,11797,11610,187,1.59,68.38,20.56,15745980,JAMMER
4,10.10.1.5,10.10.1.1,TCP,11685,11503,182,1.56,75.2,20.07,14699124,JAMMER
5,10.10.1.6,10.10.1.1,TCP,9735,9570,158,1.62,73.75,22.91,13035788,JAMMER
6,10.10.1.7,10.10.1.1,TCP,11104,10923,172,1.55,73.02,20.46,14501920,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1154,859,283,24.52,360.15,43.41,160836,DRONE
8,10.10.1.2,10.10.1.1,TCP,646,631,13,2.01,69.15,55.4,36788,DRONE
9,10.10.1.1,10.10.1.2,TCP,6018,5016,981,16.3,303.58,17.99,351396,DRONE
10,10.10.1.1,10.10.1.5,TCP,6092,5296,780,12.8,313.18,22.3,325524,
11,10.10.1.1,10.10.1.3,TCP,5373,4689,677,12.6,306.71,23.65,286624,
12,10.10.1.1,10.10.1.6,TCP,5112,4410,685,13.4,311.06,23.71,273300,
13,10.10.1.1,10.10.1.4,TCP,6131,5308,801,13.06,320.39,22.21,325568,
14,10.10.1.1,10.10.1.7,TCP,5799,5009,783,13.5,319.21,22.48,309272,
