Flow ID,Source IP,Dest IP,Protocol,Tx Packets,Rx Packets,Lost Packets,Loss (%),Mean Delay (ms),Mean Jitter (ms),Total Tx Bytes,Note
1,10.10.1.2,10.10.1.1,TCP,10040,8675,1316,13.11,144.92,18.68,3337632,DRONE
2,10.10.1.3,10.10.1.1,TCP,9667,9441,224,2.32,68.42,24.04,13051636,JAMMER
3,10.10.1.4,10.10.1.1,TCP,11223,11083,132,1.18,69.82,22.02,15347156,JAMMER
4,10.10.1.5,10.10.1.1,TCP,10292,10190,102,0.99,77.03,20.67,13574544,JAMMER
5,10.10.1.6,10.10.1.1,TCP,10553,10354,191,1.81,75.55,22.63,13985132,JAMMER
6,10.10.1.7,10.10.1.1,TCP,12346,12131,215,1.74,79.22,20.08,16199016,JAMMER
7,10.10.1.1,10.10.1.2,TCP,1255,920,333,26.53,356.55,45.29,177556,DRONE
8,10.10.1.2,10.10.1.1,TCP,678,667,11,1.62,60.61,41.93,37972,DRONE
9,10.10.1.1,10.10.1.2,TCP,5031,4160,855,16.99,314.89,19.25,286416,DRONE
10,10.10.1.1,10.10.1.5,TCP,5374,4593,769,14.31,324.84,23.49,286508,
11,10.10.1.1,10.10.1.3,TCP,4993,4374,609,12.2,318.44,23.8,266000,
12,10.10.1.1,10.10.1.6,TCP,5490,4751,731,13.32,321.33,24.38,293124,
13,10.10.1.1,10.10.1.4,TCP,5841,5004,826,14.14,321.75,23.69,309400,
14,10.10.1.1,10.10.1.7,TCP,6434,5354,1068,16.6,327.73,21.68,344412,
